DATE,DIA US Equity,QQQ US Equity,SPY US Equity
2012-08-24,131.38,68.29,141.51
2012-08-25,131.38,68.29,141.51
2012-08-26,131.38,68.29,141.51
2012-08-27,131.06,68.4,141.54
2012-08-28,130.86,68.4,141.4
2012-08-29,130.92,68.4,141.51
2012-08-30,129.92,67.71,140.49
2012-08-31,130.88,68.16,141.16
2012-09-01,130.88,68.16,141.16
2012-09-02,130.88,68.16,141.16
2012-09-03,130.88,68.16,141.16
2012-09-04,130.23,68.09,141.03
2012-09-05,130.37,68.02,140.91
2012-09-06,132.82,69.53,143.77
2012-09-07,132.94,69.43,144.33
2012-09-08,132.94,69.43,144.33
2012-09-09,132.94,69.43,144.33
2012-09-10,132.48,68.54,143.51
2012-09-11,133.09,68.43,143.91
2012-09-12,133.37,68.632,144.39
2012-09-13,135.39,69.56,146.59
2012-09-14,135.86,70.18,147.24
2012-09-15,135.86,70.18,147.24
2012-09-16,135.86,70.18,147.24
2012-09-17,135.53,70.21,146.74
2012-09-18,135.61,70.27,146.62
2012-09-19,135.73,70.4,146.7
2012-09-20,135.95,70.33,146.71
2012-09-21,135.47,70.15,145.87
2012-09-22,135.47,70.15,145.87
2012-09-23,135.47,70.15,145.87
2012-09-24,135.319,69.735,145.645
2012-09-25,134.34,68.76,144.1
2012-09-26,133.9,68.2,143.295
2012-09-27,134.6,69.14,144.64
2012-09-28,134.05,68.57,143.97
2012-09-29,134.05,68.57,143.97
2012-09-30,134.05,68.57,143.97
2012-10-01,134.78,68.47,144.345
2012-10-02,134.48,68.67,144.5
2012-10-03,134.68,69.11,145.09
2012-10-04,135.52,69.35,146.125
2012-10-05,135.96,68.98,146.14
2012-10-06,135.96,68.98,146.14
2012-10-07,135.96,68.98,146.14
2012-10-08,135.65,68.35,145.642
2012-10-09,134.59,67.2591875,144.2
2012-10-10,133.28,66.92,143.28
2012-10-11,133.13,66.71,143.36
2012-10-12,133.13,66.68,142.89
2012-10-13,133.13,66.68,142.89
2012-10-14,133.13,66.68,142.89
2012-10-15,134.02,67.17,144.08
2012-10-16,135.3,68.12,145.54
2012-10-17,135.43,68.08,146.2
2012-10-18,135.36,67.29,145.82
2012-10-19,133.11,65.68,143.389625
2012-10-20,133.11,65.68,143.389625
2012-10-21,133.11,65.68,143.389625
2012-10-22,133.1,66.02,143.41
2012-10-23,130.74,65.39,141.42
2012-10-24,130.5,65.164,141.02
2012-10-25,130.78,65.16,141.43
2012-10-26,130.79,65.35,141.35
2012-10-27,130.79,65.35,141.35
2012-10-28,130.79,65.35,141.35
2012-10-29,130.79,65.35,141.35
2012-10-30,130.79,65.35,141.35
2012-10-31,130.6,64.95,141.35
2012-11-01,131.98,65.872875,142.83
2012-11-02,130.67,65.17,141.56
2012-11-03,130.67,65.17,141.56
2012-11-04,130.67,65.17,141.56
2012-11-05,130.87,65.6,141.848625
2012-11-06,132.05,65.72,142.96
2012-11-07,129.25,64.17,139.72
2012-11-08,127.99,63.16,138.04
2012-11-09,127.92,63.43,138.16
2012-11-10,127.92,63.43,138.16
2012-11-11,127.92,63.43,138.16
2012-11-12,128.04,63.42,138.265
2012-11-13,127.53,62.98,137.79
2012-11-14,125.76,62.24,135.929875
2012-11-15,125.51,62.029875,135.7
2012-11-16,125.6,62.3,136.37
2012-11-17,125.6,62.3,136.37
2012-11-18,125.6,62.3,136.37
2012-11-19,127.63,63.780625,139.13
2012-11-20,127.71,63.8,139.19
2012-11-21,128.15,63.93,139.45
2012-11-22,128.15,63.93,139.45
2012-11-23,129.89,64.9,141.35
2012-11-24,129.89,64.9,141.35
2012-11-25,129.89,64.9,141.35
2012-11-26,129.52,65.181,141.05
2012-11-27,128.68,64.96,140.33
2012-11-28,129.64,65.52,141.46
2012-11-29,130.14,65.91,142.12
2012-11-30,130.1,65.8,142.155
2012-12-01,130.1,65.8,142.155
2012-12-02,130.1,65.8,142.155
2012-12-03,129.5531875,65.67,141.45
2012-12-04,129.39,65.63,141.25
2012-12-05,130.24,64.9031875,141.5
2012-12-06,130.74,65.32,141.98
2012-12-07,131.56,64.93,142.415
2012-12-08,131.56,64.93,142.415
2012-12-09,131.56,64.93,142.415
2012-12-10,131.74,65.12,142.473
2012-12-11,132.5,65.97,143.44
2012-12-12,132.51,65.83,143.51
2012-12-13,131.82,65.311125,142.63
2012-12-14,131.46,64.69,142.105125
2012-12-15,131.46,64.69,142.105125
2012-12-16,131.46,64.69,142.105125
2012-12-17,132.44,65.55,143.77
2012-12-18,133.55,66.5471875,145.37
2012-12-19,132.62,66.2605,144.29
2012-12-20,133.19,66.26,145.12
2012-12-21,131.79,65.2,142.79
2012-12-22,131.79,65.2,142.79
2012-12-23,131.79,65.2,142.79
2012-12-24,130.97,65.07,142.35
